City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
4,Saint George,US,89.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
23,Sardarpur,IN,89.04,clear sky,22.678,74.9484,Shri Maya Lodge
110,Bustamante,MX,95.94,clear sky,26.5333,-100.5,Hotel Hacienda los Nogales
135,Puerto Madero,MX,91.6,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
170,Sabinas Hidalgo,MX,97.72,few clouds,26.5,-100.1667,Hotel Real Santiago De Las Sabinas
214,Miracema Do Tocantins,BR,88.34,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
228,Mangrul Pir,IN,93.06,clear sky,20.3167,77.35,A one dresess& cloth store Dargha chowk Mangrulpir
256,Riyadh,SA,93.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
258,Camargo,MX,89.4,clear sky,27.6667,-105.1667,Hotel Santa Fe
267,San Patricio,US,89.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
272,Maraba,BR,93.38,few clouds,-5.3686,-49.1178,Hotel Del Principe
286,Tomatlan,MX,91.09,few clouds,19.9333,-105.25,El Salvial
304,La Asuncion,VE,94.73,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
331,Sao Raimundo Das Mangabeiras,BR,91.62,clear sky,-7.0219,-45.4811,Hotel Tropical
344,Pauini,BR,90.27,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
383,Bongor,TD,92.32,scattered clouds,10.2806,15.3722,Oryx Palace
392,Emilio Carranza,MX,89.02,scattered clouds,19.9711,-96.6114,Hotel Carranza Inn
413,Doha,QA,91.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
418,Atar,MR,96.55,clear sky,20.5169,-13.0499,Oumou Elghoura
424,Sardulgarh,IN,89.78,clear sky,29.7,75.25,Shri Balaji Pg
429,Bilma,NE,96.64,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
435,Ixtapa,MX,93.81,overcast clouds,20.7,-105.2,hotel la terminal
452,Jizan,SA,88.74,clear sky,17.3333,42.6667,شهدان. ابوالحجر
458,San Diego De Los Banos,CU,93.96,clear sky,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
487,Tamiahua,MX,88.41,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
491,Karmala,IN,90.39,broken clouds,18.4167,75.2,Hotel Ashutosh Lodge
500,Jalpan,MX,91.87,clear sky,21.2333,-99.4833,Hotel Mision Jalpan
524,Catalina,US,91.49,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
548,Saint Augustine,US,91.11,clear sky,29.8947,-81.3145,St. George Inn
593,Gainesville,US,90.01,scattered clouds,29.6516,-82.3248,Wyndham Garden Gainesville
611,Saint Pete Beach,US,90.19,scattered clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
613,Coacoyul,MX,94.19,broken clouds,17.8058,-99.11,Casa Abuelita Natalia
635,Brownsville,US,91.98,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
692,Najran,SA,88.45,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
